name,isin,as_of_date
LIC HOUSING FINANCE LTD,INE115A01026,2026-06-30
HINDUSTAN PETROLEUM CORP LTD,INE094A01015,2026-06-30
COCHIN SHIPYARD LTD,INE704P01025,2026-06-30
DLF LTD,INE271C01023,2026-06-30
NHPC LTD,INE848E01016,2026-06-30
BLUE STAR LTD,INE472A01039,2026-06-30
ICICI LOMBARD GENERAL INSURANCE CO LTD,INE765G01017,2026-06-30
AUTHUM INVESTMENT &amp; INFRASTRUCTURE LTD,INE206F01022,2026-06-30
GUJARAT FLUOROCHEMICALS LTD,INE09N301011,2026-06-30
COFORGE LTD,INE591G01025,2026-06-30
DABUR INDIA LTD,INE016A01026,2026-06-30
METRO BRANDS LTD,INE317I01021,2026-06-30
MAHINDRA &amp; MAHINDRA LTD,INE101A01026,2026-06-30
DALMIA BHARAT LTD,INE00R701025,2026-06-30
SHRIRAM FINANCE LTD,INE721A01047,2026-06-30
TITAN COMPANY LTD,INE280A01028,2026-06-30
IRB INFRASTRUCTURE DEVELOPERS LTD,INE821I01022,2026-06-30
SUN PHARMACEUTICAL INDUSTRIES LTD,INE044A01036,2026-06-30
GODREJ INDUSTRIES LTD,INE233A01035,2026-06-30
PERSISTENT SYSTEMS LTD,INE262H01021,2026-06-30
POWER GRID CORP OF INDIA LTD,INE752E01010,2026-06-30
SCHAEFFLER INDIA LTD,INE513A01022,2026-06-30
LODHA DEVELOPERS LTD,INE670K01029,2026-06-30
PAGE INDUSTRIES LTD,INE761H01022,2026-06-30
FORTIS HEALTHCARE LTD,INE061F01013,2026-06-30
INFO EDGE (INDIA) LTD,INE663F01032,2026-06-30
MANGALORE REFINERY AND PETROCHEMICALS LTD,INE103A01014,2026-06-30
MAZAGON DOCK SHIPBUILDERS LTD,INE249Z01020,2026-06-30
L&amp;T FINANCE LTD,INE498L01015,2026-06-30
BATA INDIA LTD,INE176A01028,2026-06-30
POWER FINANCE CORP LTD,INE134E01011,2026-06-30
MEESHO LTD,INE0VDM01015,2026-06-30
AMBUJA CEMENTS LTD,INE079A01024,2026-06-30
NIPPON LIFE INDIA ASSET MANAGEMENT LTD,INE298J01013,2026-06-30
PRESTIGE ESTATES PROJECTS LTD,INE811K01011,2026-06-30
UPL LTD,INE628A01036,2026-06-30
YES BANK LTD,INE528G01035,2026-06-30
CHOLAMANDALAM INVESTMENT &amp; FINANCE COMPANY LTD,INE121A01024,2026-06-30
BAJAJ AUTO LTD,INE917I01010,2026-06-30
NATIONAL ALUMINIUM COMPANY LTD,INE139A01034,2026-06-30
GLAXOSMITHKLINE PHARMACEUTICALS LTD,INE159A01016,2026-06-30
TATA POWER COMPANY LTD (THE),INE245A01021,2026-06-30
BANDHAN BANK LTD,INE545U01014,2026-06-30
JINDAL STEEL LTD,INE749A01030,2026-06-30
RBL BANK LTD,INE976G01028,2026-06-30
INDIAN HOTELS COMPANY LTD (THE),INE053A01029,2026-06-30
ZYDUS LIFESCIENCES LTD,INE010B01027,2026-06-30
NEW INDIA ASSURANCE CO LTD (THE),INE470Y01017,2026-06-30
TATA CONSULTANCY SERVICES LTD,INE467B01029,2026-06-30
TATA CONSUMER PRODUCTS LTD,INE192A01025,2026-06-30
AU SMALL FINANCE BANK LTD,INE949L01017,2026-06-30
EICHER MOTORS LTD,INE066A01021,2026-06-30
BSE LTD,INE118H01025,2026-06-30
